frame,TP,FP,FN,TN
1,8,1,0,1
2,3,0,0,0
3,2,0,0,0
4,4,0,0,0
5,1,0,1,1
6,2,0,0,0
7,6,0,1,0
8,5,0,0,0
9,0,7,0,4
10,9,5,3,5
11,7,0,8,3
12,8,5,8,7
13,5,5,7,7
14,0,7,6,3
15,0,7,8,0
16,3,5,0,0
17,2,8,6,6
18,6,9,7,4
19,0,9,1,3
20,2,0,0,1
21,8,6,1,3
22,1,7,8,3
23,6,6,3,7
24,4,3,4,9
25,6,2,4,9
26,5,1,8,0
27,6,7,7,9
28,1,2,0,5
29,9,9,6,3
30,4,6,9,2
31,0,5,2,3
32,9,2,3,6
33,5,8,9,6
34,8,2,9,2
35,2,3,2,6
36,8,2,6,8
37,4,4,1,6
38,1,2,6,4
39,1,4,3,6
40,7,7,6,7
41,3,2,6,2
42,0,2,6,1
43,7,6,0,2
44,6,7,3,9
45,6,6,7,5
46,9,3,8,1
47,2,6,8,7
48,5,8,8,2
49,3,4,6,2
50,2,6,3,1
51,8,8,8,0
52,6,5,0,4
53,7,8,8,0
54,7,3,7,4
55,3,7,2,7
56,9,4,8,8
57,5,6,2,0
58,4,7,8,3
59,3,1,9,2
60,3,7,5,7
61,1,2,4,6
62,2,2,9,3
63,1,8,9,9
64,3,5,8,7
65,1,9,3,2
66,1,5,7,1
67,4,2,9,9
68,3,4,1,4
69,2,6,5,1
70,1,6,8,3
71,3,2,4,8
72,8,1,6,8
73,3,3,4,5
74,6,3,8,7
75,3,5,0,1
76,6,7,0,9
77,7,0,0,6
78,5,7,0,8
79,4,9,6,8
80,6,8,6,5
81,3,7,5,5
82,6,9,4,9
83,8,7,1,5
84,0,0,9,9
85,5,6,6,8
86,8,3,3,6
87,7,2,1,2
88,2,4,4,9
89,3,0,1,0
90,3,9,7,1
91,7,1,8,6
92,1,2,5,9
93,2,0,9,4
94,6,5,9,2
95,2,0,3,9
96,9,0,6,9
97,3,2,5,0
98,2,2,1,2
99,9,4,6,0
100,5,6,9,2
101,2,6,7,1
102,7,0,7,7
103,6,9,5,2
104,8,4,4,4
105,5,1,2,3
106,7,4,3,7
107,8,1,5,3
108,9,3,6,6
109,3,5,2,7
110,4,8,0,9
111,8,4,3,8
112,6,2,2,9
113,6,2,0,1
114,2,6,8,1
115,6,7,5,9
116,7,3,0,1
117,6,5,6,3
118,6,2,7,0
119,4,0,6,4
120,8,6,6,1
121,4,4,1,1
122,1,2,4,5
123,9,7,7,6
124,1,2,9,2
125,2,7,6,5
126,3,0,6,7
127,4,5,1,5
128,4,7,2,9
129,8,5,2,7
130,5,0,2,1
131,7,0,5,1
132,5,3,2,0
133,5,0,4,1
134,3,0,1,5
135,0,0,5,1
136,3,0,6,8
137,4,0,7,8
138,1,0,1,7
139,6,0,0,5
140,2,0,3,1
141,7,0,8,1
142,3,0,5,7
143,5,0,2,7
144,6,0,5,2
145,1,0,1,8
146,0,0,8,5
147,3,0,1,4
148,7,0,4,7
149,2,0,2,2
150,3,0,1,9
151,2,0,9,3
152,2,0,4,9
153,2,0,2,5
154,9,0,3,4
155,6,0,3,9
156,8,0,6,3
157,1,0,2,3
158,6,0,2,9
159,2,0,3,5
160,5,0,3,3
161,0,0,1,7
162,7,0,4,7
163,8,0,9,9
164,7,0,0,9
165,4,0,5,5
166,2,0,6,6
167,1,0,8,1
168,7,0,7,7
169,2,0,6,1
170,4,0,4,5
171,0,0,2,0
172,9,0,9,2
173,6,0,4,7
174,4,0,2,0
175,9,0,5,8
176,5,0,7,8
177,8,0,5,5
178,1,0,3,5
179,8,0,7,2
180,9,0,1,5
181,2,0,8,2
182,0,0,6,9
183,0,0,9,9
184,9,0,3,7
185,0,0,9,6
186,1,0,3,0
187,1,0,8,3
188,7,0,0,4
189,8,0,7,3
190,3,0,8,4
191,7,0,9,6
192,5,0,6,6
193,7,0,6,8
194,7,0,0,5
195,6,0,9,9
196,3,0,4,1
197,9,0,4,8
198,2,0,0,4
199,7,0,4,7
200,1,0,5,3
201,5,0,4,4
202,8,0,9,8
203,9,0,5,8
204,3,0,6,7
205,7,0,1,5
206,6,0,4,9
207,5,0,2,4
208,0,0,2,1
209,2,0,6,0
210,7,0,7,2
211,6,0,7,3
212,6,0,4,6
213,4,0,8,8
214,4,0,4,6
215,1,0,6,8
216,0,0,4,6
217,5,0,9,1
218,5,0,5,5
219,0,0,3,9
220,1,0,7,7
221,3,0,5,8
222,1,0,2,5
223,4,0,8,0
224,8,0,2,7
225,5,0,5,5
226,1,0,3,1
227,4,0,2,6
228,2,0,2,0
229,9,0,8,8
230,4,0,4,0
231,5,0,9,0
232,1,0,9,6
233,0,0,8,4
234,3,0,6,3
235,7,0,6,9
236,4,0,7,6
237,9,0,6,5
238,8,0,4,7
239,4,0,9,8
240,4,0,8,2
241,7,0,4,2
242,3,0,1,3
243,2,0,0,4
244,3,0,2,7
245,1,0,5,4
246,0,0,9,8
247,3,0,4,4
248,8,0,5,3
249,3,0,3,3
250,4,0,5,3
